2020年11月05日,2.35,2.57,2.27,2.46,2.46,8056200
2020年11月04日,2.40,2.43,2.24,2.31,2.31,7609100
2020年11月03日,2.34,2.59,2.30,2.34,2.34,15441900
2020年11月02日,2.30,2.32,2.11,2.15,2.15,11180100
2020年10月30日,2.48,2.49,2.28,2.36,2.36,10968800
2020年10月29日,2.65,2.68,2.48,2.52,2.52,9019300
2020年10月28日,2.69,2.74,2.58,2.61,2.61,8141100
2020年10月27日,2.88,2.90,2.61,2.79,2.79,11251300
2020年10月26日,2.92,2.93,2.68,2.75,2.75,10458800
2020年10月23日,3.13,3.15,2.95,2.97,2.97,6635000
2020年10月22日,2.96,3.15,2.84,3.12,3.12,12339600
2020年10月21日,3.10,3.13,2.98,3.00,3.00,7277300
2020年10月20日,3.30,3.31,3.05,3.09,3.09,15978800
2020年10月19日,3.31,3.88,3.23,3.54,3.54,40385100
2020年10月16日,2.87,3.29,2.80,3.04,3.04,18565800
2020年10月15日,2.84,2.96,2.76,2.78,2.78,9808600
2020年10月14日,3.09,3.20,2.66,2.96,2.96,31709400
2020年10月13日,3.90,3.91,3.52,3.54,3.54,10164700
2020年10月12日,4.03,4.09,4.00,4.08,4.08,3245700
2020年10月09日,4.17,4.18,4.04,4.05,4.05,5021400
2020年10月08日,4.13,4.18,4.02,4.14,4.14,7868500
2020年10月07日,4.08,4.11,3.94,4.04,4.04,6917700
2020年10月06日,4.26,4.27,4.05,4.06,4.06,8404200
2020年10月05日,4.30,4.36,4.05,4.13,4.13,9468800
2020年10月02日,4.48,4.66,4.42,4.65,4.65,3576000
2020年10月01日,4.78,4.80,4.63,4.65,4.65,3223800
2020年9月30日,4.80,4.95,4.70,4.71,4.71,2515400
2020年9月29日,4.88,4.94,4.75,4.86,4.86,2520000
2020年9月28日,5.04,5.04,4.61,4.91,4.91,4676500
2020年9月25日,4.64,4.93,4.50,4.88,4.88,2375500
2020年9月24日,4.69,4.90,4.36,4.61,4.61,4569700
2020年9月23日,5.22,5.29,4.74,4.78,4.78,4285200
2020年9月22日,5.22,5.32,5.14,5.21,5.21,2090100
2020年9月21日,5.42,5.48,5.01,5.32,5.32,4563200
2020年9月18日,5.71,5.74,5.57,5.67,5.67,2428500
2020年9月17日,5.67,5.79,5.58,5.72,5.72,2619700
2020年9月16日,5.52,5.88,5.42,5.76,5.76,4380600
2020年9月15日,5.60,5.87,5.52,5.52,5.52,5099300
2020年9月14日,5.84,5.87,5.51,5.54,5.54,4638100
2020年9月11日,6.06,6.07,5.60,5.79,5.79,4863000
2020年9月10日,6.28,6.36,5.88,5.94,5.94,5881800
2020年9月09日,6.54,6.54,6.11,6.26,6.26,5578200
2020年9月08日,6.76,6.95,6.37,6.42,6.42,6667400
2020年9月04日,6.76,7.02,6.23,7.02,7.02,9328800
2020年9月03日,6.94,7.14,6.48,6.60,6.60,10626600
2020年9月02日,7.01,7.71,6.46,7.04,7.04,43056200
2020年9月01日,5.79,6.18,5.79,6.07,6.07,9524000
2020年8月31日,6.33,6.45,5.76,5.88,5.88,9820200
2020年8月28日,6.49,6.54,6.11,6.30,6.30,9882700
2020年8月27日,5.81,7.10,5.70,6.52,6.52,31921200
2020年8月26日,5.45,5.67,5.33,5.60,5.60,4419400
2020年8月25日,5.46,5.58,5.21,5.54,5.54,5296900
2020年8月24日,5.35,5.45,4.94,5.41,5.41,8498200
2020年8月21日,5.68,5.68,5.18,5.19,5.19,8216900
2020年8月20日,5.57,5.78,5.30,5.69,5.69,13728400
2020年8月19日,5.34,5.47,5.18,5.39,5.39,5728300
2020年8月18日,5.57,5.57,5.13,5.35,5.35,5790700
2020年8月17日,5.72,5.85,5.43,5.60,5.60,7159200
2020年8月14日,5.56,5.63,5.05,5.54,5.54,12055800
2020年8月13日,5.10,5.77,4.82,5.31,5.31,23259200
2020年8月12日,4.62,4.76,4.56,4.64,4.64,2457900
2020年8月11日,4.70,4.85,4.54,4.56,4.56,5794800
2020年8月10日,4.65,4.74,4.35,4.47,4.47,5048200
2020年8月07日,4.14,5.26,4.09,4.75,4.75,24917400
2020年8月06日,4.11,4.24,3.99,4.14,4.14,3742600
2020年8月05日,4.08,4.17,4.07,4.15,4.15,1691500
2020年8月04日,4.07,4.24,4.06,4.10,4.10,3267800
2020年8月03日,4.05,4.20,3.86,4.11,4.11,4047100
2020年7月31日,4.08,4.15,3.95,4.04,4.04,2584900
2020年7月30日,4.12,4.34,4.06,4.12,4.12,3699100
2020年7月29日,4.07,4.20,3.95,4.16,4.16,5489400
2020年7月28日,3.85,4.25,3.84,4.15,4.15,6226600
2020年7月27日,4.01,4.03,3.81,3.87,3.87,2980500
2020年7月24日,4.00,4.18,3.96,4.00,4.00,3282400
2020年7月23日,4.08,4.18,4.00,4.06,4.06,3614300
2020年7月22日,4.10,4.17,4.00,4.03,4.03,2798800
2020年7月21日,4.15,4.24,4.08,4.15,4.15,1925900
2020年7月20日,4.21,4.23,4.07,4.15,4.15,2393100
2020年7月17日,4.36,4.37,4.20,4.27,4.27,2101700
2020年7月16日,4.33,4.48,4.31,4.38,4.38,1997500
2020年7月15日,4.37,4.58,4.22,4.50,4.50,4830700
2020年7月14日,4.25,4.27,4.10,4.22,4.22,3291400
2020年7月13日,4.76,4.82,4.25,4.26,4.26,4464800
2020年7月10日,4.39,4.60,4.38,4.60,4.60,3306100
2020年7月09日,4.48,4.60,4.18,4.57,4.57,4225700
2020年7月08日,4.49,4.52,4.20,4.43,4.43,5586800
2020年7月07日,4.18,4.29,4.08,4.13,4.13,2667600
2020年7月06日,4.62,4.64,4.13,4.28,4.28,5489700
2020年7月02日,4.69,4.69,4.47,4.53,4.53,3908400
2020年7月01日,4.26,4.60,4.26,4.57,4.57,4914500
2020年6月30日,4.34,4.36,4.21,4.29,4.29,3653400
2020年6月29日,3.91,4.44,3.75,4.42,4.42,9321600
2020年6月26日,4.26,4.69,4.15,4.18,4.18,5601000
2020年6月25日,4.57,4.59,4.17,4.27,4.27,8251400
2020年6月24日,4.99,5.12,4.51,4.79,4.79,8104100
2020年6月23日,5.37,5.40,5.04,5.10,5.10,5699300
2020年6月22日,5.48,5.48,5.21,5.33,5.33,4412800
2020年6月19日,6.20,6.25,5.46,5.52,5.52,13137400
2020年6月18日,5.35,5.72,5.34,5.63,5.63,5619700
2020年6月17日,5.41,5.63,5.31,5.42,5.42,3030800
2020年6月16日,6.02,6.06,5.50,5.56,5.56,5911900
2020年6月15日,5.42,5.93,5.30,5.80,5.80,5541400
2020年6月12日,5.69,5.93,5.22,5.89,5.89,7352900
2020年6月11日,5.53,5.65,5.00,5.17,5.17,9179400
2020年6月10日,7.30,7.35,6.28,6.29,6.29,15322600
2020年6月09日,6.10,6.19,5.56,5.99,5.99,7394300
2020年6月08日,6.27,6.84,6.17,6.45,6.45,8587100
2020年6月05日,5.78,6.15,5.64,5.91,5.91,9240900
2020年6月04日,5.17,5.40,5.00,5.38,5.38,8572600
2020年6月03日,5.27,5.99,5.09,5.45,5.45,15353700
2020年6月02日,5.35,5.65,5.33,5.59,5.59,6877800
2020年6月01日,5.03,5.37,5.02,5.31,5.31,3913100
2020年5月29日,5.00,5.38,4.83,5.13,5.13,5153000
2020年5月28日,5.65,5.68,5.02,5.07,5.07,6590200
2020年5月27日,5.48,5.65,5.11,5.60,5.60,7862400
2020年5月26日,4.80,5.14,4.70,5.11,5.11,8864100
2020年5月22日,4.66,4.68,4.56,4.58,4.58,2408800
2020年5月21日,4.68,4.79,4.55,4.63,4.63,4555000
2020年5月20日,4.69,4.75,4.59,4.66,4.66,3489500
2020年5月19日,4.82,4.98,4.50,4.56,4.56,4929800
2020年5月18日,4.80,4.93,4.63,4.72,4.72,6036900
2020年5月15日,4.47,4.62,4.44,4.52,4.52,3483200
2020年5月14日,4.25,4.65,4.08,4.55,4.55,5920500
2020年5月13日,5.02,5.03,4.51,4.60,4.60,10433400
2020年5月12日,5.77,5.84,4.91,5.12,5.12,19681900
2020年5月11日,6.40,6.41,4.89,5.32,5.32,106553300
2020年5月08日,4.14,4.22,4.04,4.10,4.10,3571200
2020年5月07日,4.01,4.18,3.95,3.99,3.99,4105800
2020年5月06日,4.08,4.10,3.83,3.92,3.92,3105700
2020年5月05日,4.67,4.69,3.81,3.89,3.89,7504500
2020年5月04日,4.11,4.78,4.00,4.30,4.30,5601400
